type,question,option_a,option_b,option_c,option_d,correct,explanation,category,difficulty,tags
single,What is the primary function of an IDS?,Automatically patch all hosts,Detect and alert on potentially malicious activity,Encrypt databases,Issue digital certificates,B,An intrusion detection system monitors activity and generates alerts; prevention is not necessarily its function.,Network Security,medium,IDS;monitoring
true_false,True or False: An IPS is generally capable of taking automated action to block detected malicious traffic.,True,False,,,A,An intrusion prevention system can detect and actively block or prevent traffic.,Network Security,easy,IPS
single,What does RTO describe?,Maximum acceptable data loss measured in time,Target time to restore a service after disruption,Annual risk value,Time between password changes,B,Recovery Time Objective is the target duration for restoring a process or service.,Business Continuity,medium,RTO;recovery
single,What does RPO describe?,Maximum tolerable period of downtime,Acceptable amount of data loss measured in time,Time required to detect an incident,Required password age,B,"Recovery Point Objective indicates how much data loss, expressed as time, is acceptable.",Business Continuity,medium,RPO;backup
multiple,Which TWO activities are important parts of business continuity planning?,Business impact analysis,Recovery strategy development,Disabling backups,Removing incident documentation,A|B,BIA identifies critical impacts and recovery strategies define how capabilities will be restored or maintained.,Business Continuity,medium,BCP;BIA
single,Which backup type normally copies all selected data regardless of previous backups?,Full,Incremental,Differential,Transaction-only,A,A full backup copies all data selected for that backup job.,Business Continuity,easy,backup
true_false,"True or False: Backups should be tested for restoration, not merely confirmed as successfully created.",True,False,,,A,Restoration testing verifies that backups are usable when recovery is required.,Business Continuity,easy,backup;restore
single,What is the primary goal of a Business Impact Analysis (BIA)?,Select antivirus software,Identify critical processes and the effects of disruption,Create user passwords,Configure routers,B,"A BIA determines business impact, criticality, dependencies, and recovery priorities.",Business Continuity,medium,BIA;critical processes
single,Which document provides high-level management direction and intent regarding security?,Security policy,Packet capture,Log file,Source code,A,Policies communicate management expectations and high-level security requirements.,Risk Management,easy,policy;governance
single,Risk is commonly considered as a function of:,"Threat, vulnerability, and impact","CPU, RAM, and storage",Username and password only,Encryption key length only,A,Risk assessment considers threats exploiting vulnerabilities and the resulting likelihood/impact.,Risk Management,medium,risk;threat;vulnerability
multiple,Which TWO are common risk treatment options?,Mitigate,Transfer,Ignore all identified risk,Guarantee zero risk,A|B,"Risk can be mitigated, transferred, avoided, or accepted depending on context.",Risk Management,easy,risk treatment
true_false,True or False: Residual risk is the risk remaining after controls have been applied.,True,False,,,A,Residual risk remains after safeguards or countermeasures reduce inherent risk.,Risk Management,easy,residual risk
single,Which type of control is intended to discourage a person from attempting an unwanted action?,Deterrent,Corrective,Recovery,Compensating,A,Deterrent controls seek to discourage undesirable behavior before it occurs.,Risk Management,medium,controls;deterrent
single,A security awareness program is primarily intended to:,Replace technical controls,Improve user understanding and security behavior,Eliminate all risk,Configure firewalls automatically,B,"Awareness programs help personnel recognize responsibilities, threats, and appropriate security behavior.",Risk Management,easy,awareness;training
single,What is the first priority when responding to an emergency involving people and information systems?,Protect human life and safety,Preserve server uptime at any cost,Collect every log before acting,Notify social media,A,Human life and safety take precedence over protection of systems and information.,Incident Response,easy,safety;incident response
single,Which incident response phase focuses on limiting the spread and impact of an incident?,Containment,Preparation,Lessons learned,Identification,A,Containment aims to prevent further damage while supporting subsequent eradication and recovery.,Incident Response,easy,containment
multiple,Which TWO are useful sources of evidence during a security incident?,System logs,Network captures,Unverified rumors,Randomly modified files,A|B,Logs and packet captures can provide relevant technical evidence for investigation.,Incident Response,easy,logs;packet capture
true_false,True or False: Chain of custody documents the handling and transfer of evidence.,True,False,,,A,"Chain of custody records who possessed evidence, when, and how it was handled.",Incident Response,easy,forensics;chain of custody
single,Why is volatile data often collected early during a forensic investigation?,It may disappear when a system is powered off,It never changes,It is always stored on tape,It cannot contain useful evidence,A,Memory and other volatile information may be lost when power is removed or system state changes.,Incident Response,medium,forensics;volatile data
single,What is the purpose of a lessons-learned activity after an incident?,Assign passwords,Identify improvements to processes and controls,Delete all evidence immediately,Prevent documentation,B,"Post-incident review identifies what worked, what failed, and what should improve.",Incident Response,easy,lessons learned
single,Which cryptographic technique uses the same secret key for encryption and decryption?,Symmetric encryption,Asymmetric encryption,Hashing,Digital signature only,A,Symmetric cryptography uses a shared secret key for encryption and decryption.,Cryptography,easy,symmetric encryption
single,Which cryptographic approach uses a mathematically related public and private key pair?,Asymmetric cryptography,Symmetric cryptography,Checksum only,Steganography only,A,Asymmetric cryptography uses public/private key pairs.,Cryptography,easy,asymmetric;public key
multiple,Which TWO security properties can digital signatures support?,Integrity,Authenticity,Guaranteed availability,Physical access control,A|B,Digital signatures can provide evidence of origin/authenticity and detect changes to signed data.,Cryptography,medium,digital signatures;integrity
true_false,True or False: A cryptographic hash is normally intended to be reversible to recover the original plaintext.,True,False,,,B,"Cryptographic hash functions are designed as one-way functions, not reversible encryption.",Cryptography,easy,hashing
single,What is a primary role of a Certificate Authority (CA) in a PKI?,Issue and manage digital certificates,Store all user passwords,Replace firewalls,Perform physical patrols,A,A CA issues and signs certificates that bind identities to public keys.,Cryptography,medium,PKI;CA
single,What does encryption at rest primarily protect?,Stored data,Only data crossing a network,CPU temperature,Physical building access,A,Encryption at rest protects information stored on media or storage systems.,Cryptography,easy,encryption at rest
single,Which physical security control is designed to reduce unauthorized vehicle access to a protected area?,Bollard,Hash function,VLAN,Digital certificate,A,Bollards are physical barriers used to restrict or control vehicle access.,Systems Security,easy,physical security
multiple,Which TWO are examples of physical access controls?,Badge reader,Security guard,Hash algorithm,DNS record,A|B,Badge readers and guards directly control or monitor physical access.,Systems Security,easy,physical access
true_false,True or False: A UPS can support availability by providing temporary power during an electrical outage.,True,False,,,A,A UPS helps systems continue operating briefly or shut down safely during power loss.,Systems Security,easy,UPS;availability
single,What is hardening?,Reducing unnecessary services and securely configuring a system,Increasing the number of default accounts,Disabling all logging,Publishing administrator passwords,A,Hardening reduces attack surface through secure configuration and removal or disabling of unnecessary functionality.,Systems Security,easy,hardening;attack surface
single,Why should default passwords be changed before deploying a system?,Default credentials may be publicly known or easily guessed,They improve availability,They increase bandwidth,They create backups,A,Known default credentials are a common and preventable avenue for unauthorized access.,Systems Security,easy,default credentials
single,What is the primary purpose of vulnerability management?,"Systematically identify, assess, prioritize, and address vulnerabilities",Guarantee no attacks ever occur,Replace incident response,Eliminate asset inventories,A,Vulnerability management is a continuing process for identifying and treating security weaknesses.,Security Operations,medium,vulnerability management
multiple,Which TWO practices support effective patch management?,Test patches when appropriate before broad deployment,Prioritize remediation based on risk,Install every change blindly with no rollback plan,Disable asset inventory,A|B,Testing and risk-based prioritization reduce operational risk while addressing important vulnerabilities.,Security Operations,medium,patching;risk
true_false,True or False: Centralized logging can improve detection and investigation by correlating events from multiple systems.,True,False,,,A,Centralized logs provide broader visibility and support event correlation and investigation.,Security Operations,easy,logging;SIEM
single,What is the main purpose of change management in IT security?,Control and document changes to reduce unintended risk,Prevent all system updates,Remove accountability,Avoid testing,A,"Formal change management helps assess, approve, document, test, and track changes.",Security Operations,medium,change management
single,Which principle requires sensitive actions to be attributable to a specific identity?,Accountability,Availability,Obscurity,Redundancy,A,"Accountability depends on identifiable actions, appropriate authentication, and reliable auditing.",Security Operations,easy,accountability;audit
multiple,Which TWO measures most directly improve account security?,Multi-factor authentication,Unique strong passwords,Shared administrator accounts,Disabling audit logs,A|B,MFA and unique strong passwords reduce the likelihood and impact of credential compromise.,Access Controls,easy,MFA;passwords
